zona;nome;cod_municipio;municipio;cod_distrito;distrito;popu
236;Ipiranga;36;São Paulo;33;Ipiranga;12057 
237;Sacomã;36;São Paulo;33;Ipiranga;8175 
238;Alto do Ipiranga;36;São Paulo;33;Ipiranga;19260 
239;Vila São José;36;São Paulo;33;Ipiranga;15480 
240;Vila Monumento;36;São Paulo;33;Ipiranga;19389 
241;Vila Independência;36;São Paulo;33;Ipiranga;9672 
242;Vila Carioca;36;São Paulo;33;Ipiranga;27112 
243;Moinho Velho;36;São Paulo;69;Sacomã;44779 
244;Vila Heliópolis;36;São Paulo;69;Sacomã;62304 
245;São João Clímaco;36;São Paulo;69;Sacomã;24591 
246;Anchieta;36;São Paulo;69;Sacomã;29973 
247;Vila das Mercês;36;São Paulo;69;Sacomã;98763 
248;Parque do Estado;36;São Paulo;27;Cursino; 
249;Água Funda;36;São Paulo;27;Cursino;46815 
250;Jardim da Saúde;36;São Paulo;27;Cursino;19179 
251;Vila Gumercindo;36;São Paulo;27;Cursino;24384 
252;Jardim Previdência;36;São Paulo;27;Cursino;22489 
253;Tamanduateí;36;São Paulo;95;Vila Prudente;5068 
254;Orfanato;36;São Paulo;95;Vila Prudente;34074 
255;Vila Zelina;36;São Paulo;95;Vila Prudente;65501 
256;Linhas Corrente;36;São Paulo;74;São Lucas;29469 
257;Vila Ema;36;São Paulo;74;São Lucas;44120 
258;Parque São Lucas;36;São Paulo;74;São Lucas;69365 
259;Vila Cardoso Franco;36;São Paulo;78;Sapopemba;37944 
260;Parque Santa Madalena;36;São Paulo;78;Sapopemba;46025 
261;Jardim Colorado;36;São Paulo;78;Sapopemba;56316 
262;Teotônio Vilela;36;São Paulo;78;Sapopemba;85182 
263;Fazenda da Juta;36;São Paulo;78;Sapopemba;63212 
264;São Mateus;36;São Paulo;75;São Mateus;66948 
265;Cidade IV Centenário;36;São Paulo;75;São Mateus;44247 
266;Rio Claro;36;São Paulo;75;São Mateus;18759 
267;Cidade Satélite;36;São Paulo;75;São Mateus;25209 
268;Joaquim Nabuco;36;São Paulo;15;Campo Belo;13975 
269;Vieira de Moraes;36;São Paulo;15;Campo Belo;21459 
270;Campo Belo;36;São Paulo;15;Campo Belo;9294 
271;Congonhas;36;São Paulo;15;Campo Belo; 
272;Jardim Aeroporto;36;São Paulo;15;Campo Belo;19506 
273;Vila Santa Catarina;36;São Paulo;37;Jabaquara;61476 
274;Jabaquara;36;São Paulo;37;Jabaquara;35826 
275;Cidade Vargas;36;São Paulo;37;Jabaquara;38239 
276;Jardim Bom Clima;36;São Paulo;37;Jabaquara;92605 
277;Cupecê;36;São Paulo;22;Cidade Ademar;59452 
278;Jardim Miriam;36;São Paulo;22;Cidade Ademar;138839 
279;Vila Missionária;36;São Paulo;22;Cidade Ademar;83502 
280;Jurubatuba;36;São Paulo;16;Campo Grande;20114 
281;Vila São Pedro;36;São Paulo;16;Campo Grande;41022 
282;Campo Grande;36;São Paulo;16;Campo Grande;33790 
283;Vila Sabará;36;São Paulo;16;Campo Grande;10684 
284;Mar Paulista;36;São Paulo;59;Pedreira;51001 
285;Pedreira;36;São Paulo;59;Pedreira;106280 
286;Vila Socorro;36;São Paulo;81;Socorro;9119 
287;Parque Interlagos;36;São Paulo;81;Socorro;27277 
288;Jardim Represa;36;São Paulo;23;Cidade Dutra;21830 
289;Rio Bonito;36;São Paulo;23;Cidade Dutra;47549 
290;SESC Interlagos;36;São Paulo;23;Cidade Dutra;56065 
291;Jardim Presidente;36;São Paulo;23;Cidade Dutra;75809 
